transaction_id,date,product_id,quantity,unit_price,total_amount,discount_amount,customer_id,region
1,2024-07-01,180,1,255.48,255.48,28.38,CUST4060,West
2,2024-07-01,493,1,358.8,358.8,18.88,CUST9151,East
3,2024-07-01,574,3,208.51,625.53,110.4,CUST9507,East
4,2024-07-01,31,1,70.53,70.53,0.0,CUST2353,West
5,2024-07-01,85,1,22.77,22.77,2.53,CUST2293,West
6,2024-07-01,474,2,83.7,167.4,55.8,CUST3956,Central
7,2024-07-01,82,2,92.12,184.24,20.48,CUST5813,East
8,2024-07-01,588,1,181.06,181.06,20.12,CUST2680,North
9,2024-07-01,447,2,402.42,804.84,42.36,CUST6372,East
10,2024-07-01,54,1,62.35,62.35,11.0,CUST6021,West
11,2024-07-01,97,5,245.8,1229.0,136.55,CUST7981,South
12,2024-07-01,120,3,204.28,612.84,0.0,CUST8272,East
13,2024-07-01,174,2,201.48,402.96,0.0,CUST8325,North
14,2024-07-01,351,1,173.8,173.8,0.0,CUST6776,Central
15,2024-07-01,355,3,83.94,251.82,44.43,CUST8126,East
16,2024-07-01,544,1,326.04,326.04,0.0,CUST1939,North
17,2024-07-01,602,1,34.17,34.17,1.8,CUST7655,East
18,2024-07-01,195,3,186.13,558.39,139.62,CUST9406,South
19,2024-07-01,388,2,245.27,490.54,0.0,CUST1510,South
20,2024-07-01,80,1,43.26,43.26,7.63,CUST8179,North
21,2024-07-01,608,1,217.29,217.29,0.0,CUST3068,North
22,2024-07-01,7,2,128.22,256.44,0.0,CUST4866,East
23,2024-07-01,267,1,269.18,269.18,29.91,CUST6933,West
24,2024-07-01,471,2,155.99,311.98,34.66,CUST1530,Central
25,2024-07-01,458,1,283.5,283.5,14.92,CUST3513,West
26,2024-07-01,638,3,159.74,479.22,0.0,CUST7077,East
27,2024-07-01,240,1,262.54,262.54,29.17,CUST8273,North
28,2024-07-01,104,1,48.79,48.79,8.61,CUST3255,Central
29,2024-07-01,608,3,217.29,651.87,0.0,CUST7012,West
30,2024-07-01,92,2,112.17,224.34,56.08,CUST6150,East
31,2024-07-01,610,4,206.72,826.88,0.0,CUST5089,North
32,2024-07-01,552,4,335.78,1343.12,447.68,CUST1424,South
33,2024-07-01,368,5,101.51,507.55,126.85,CUST9176,Central
34,2024-07-01,521,1,248.86,248.86,43.91,CUST7340,Central
35,2024-07-01,412,4,190.07,760.28,40.0,CUST2929,East
36,2024-07-01,171,2,154.6,309.2,16.28,CUST5264,West
37,2024-07-01,566,1,356.76,356.76,18.78,CUST4515,Central
38,2024-07-01,353,5,32.98,164.9,70.65,CUST5678,West
39,2024-07-01,637,4,240.56,962.24,0.0,CUST4279,North
40,2024-07-01,364,1,57.58,57.58,10.16,CUST3223,North
41,2024-07-01,626,1,232.81,232.81,12.26,CUST8406,South
42,2024-07-01,320,1,97.56,97.56,5.14,CUST8292,North
43,2024-07-01,113,1,101.6,101.6,0.0,CUST6236,East
44,2024-07-01,225,1,131.59,131.59,0.0,CUST2063,Central
45,2024-07-01,123,2,25.63,51.26,17.08,CUST9882,East
46,2024-07-01,295,3,64.57,193.71,0.0,CUST5914,South
47,2024-07-01,171,1,154.6,154.6,8.14,CUST3852,East
48,2024-07-01,250,3,205.16,615.48,263.79,CUST9335,South
49,2024-07-01,61,2,99.97,199.94,50.0,CUST2988,South
50,2024-07-01,539,3,189.5,568.5,100.35,CUST3275,South
51,2024-07-01,120,2,204.28,408.56,0.0,CUST9094,North
52,2024-07-01,344,1,184.34,184.34,0.0,CUST6912,Central
53,2024-07-01,38,4,95.11,380.44,67.12,CUST7044,West
54,2024-07-01,159,2,140.42,280.84,0.0,CUST3126,Central
55,2024-07-01,57,3,112.69,338.07,84.51,CUST2412,North
56,2024-07-01,215,1,124.75,124.75,0.0,CUST6067,West
